0,24,something on the 24th,none,0
1,24,Welcome to Engineering Days & Introduction to Product Managers,Martin Cooper & Octavian Tanase,0
2,24,Future of Data: The NetApp Vision and Strategy,Matt Watts,0
3,time,"Architecting the Future, Today",Grant Caley,0
4,time,Break,none,0
5,time,Simply Data Management Everywhere with Flash and ONTAP: Core ONTAP and FAS/AFF Platform Developments and Direction,Jay Subramanian,0
6,time,Lunch,none,0
